FiftyThreellä	B-ORG	O
ei	O	O
nimittäin	O	O
ole	O	O
ollut	O	O
tavaramerkkiä	O	O
sanalle	O	O
"	O	O
paper	O	O
"	O	O
,	O	O
vaan	O	O
ainoastaan	O	O
termille	O	O
"	B-PRO	O
Paper	I-PRO	O
By	I-PRO	O
FiftyThree	I-PRO	O
"	I-PRO	O
.	O	O

Mutta	O	O
FiftyThree	B-ORG	O
on	O	O
juuri	O	O
jättänyt	O	O
hakemuksen	O	O
Yhdysvalloissa	B-LOC	O
myös	O	O
tavaramerkille	O	O
"	B-PRO	O
paper	I-PRO	O
"	I-PRO	O
.	O	O

"	B-PRO	O
Windows	I-PRO	O
9:llä	I-PRO	O
"	I-PRO	O
ei	O	O
ole	O	O
tulevaisuutta	O	O
,	O	O
mikäli	O	O
Microsoft	B-ORG	O
ei	O	O
muuta	O	O
radikaalisti	O	O
politiikkaansa	O	O

Ilmoituksessaan	O	O
Valve	B-ORG	O
kuitenkin	O	O
huomauttaa	O	O
,	O	O
että	O	O
SteamOS	B-PRO	O
1.0	I-PRO	O
"	I-PRO	O
Alchemistin	I-PRO	O
"	I-PRO	O
uusinta	O	O
beetaversiota	O	O
on	O	O
testattu	O	O
minimaalisen	O	O
vähän	O	O

Build-konferenssin	B-EVENT	O
ja	O	O
suuren	O	O
yleisön	O	O
mielenkiinto	O	O
kohdistuu	O	O
vain	O	O
ja	O	O
ainoastaan	O	O
tapahtuman	O	O
yhteydessä	O	O
oletetusti	O	O
esiteltävään	O	O
"	B-PRO	O
Windows	I-PRO	O
9:ään	I-PRO	O
"	I-PRO	O
.	O	O

Koodinimellä	O	O
"	B-PRO	O
Threshold	I-PRO	O
"	I-PRO	O
tunnettu	O	O
käyttöjärjestelmä	O	O
on	O	O
vahvistamattomien	O	O
tietojen	O	O
mukaan	O	O
tarkoitus	O	O
julkaista	O	O
keväällä	O	O
2015	B-DATE	O
.	O	O

Myöhempään	O	O
Windows	B-PRO	O
"	I-PRO	O
Thresholdiin	I-PRO	O
"	I-PRO	O
spekuloitua	O	O
Käynnistä-valikkoa	O	O
ei	O	O
kuitenkaan	O	O
liene	O	O
vielä	O	O
lupa	O	O
odottaa	O	O
.	O	O
